yyyymm,total,programador,noprogramador
201703,642,265,159
201702,355,173,86
201613,359,173,73
201612,222,98,55
201611,310,153,66
201610,284,132,58
201609,292,154,60
201608,199,98,49
201607,220,111,44
201606,264,132,47
201605,249,118,42
201604,244,126,46
201603,250,127,41
201602,279,161,51
201513,224,103,56
201512,155,78,31
201511,229,131,42
201510,221,105,47
201509,213,122,29
201508,124,59,29
201507,173,99,43
201506,153,81,34
201505,179,103,31
201504,201,102,44
201503,214,123,36
201502,184,114,42
201413,151,95,30
201412,104,53,22
201411,132,77,24
201410,142,90,23
201409,146,89,22
201408,77,44,15
201407,125,68,31
201406,114,49,39
201405,109,64,19
201404,127,71,27
201403,131,84,19
201402,144,84,26
201313,145,88,25
201312,117,65,18
201311,127,73,29
201310,88,53,18
201309,90,53,15
201308,64,37,10
201307,108,61,19
201306,123,66,33
201305,81,42,21
201304,92,48,24
201303,90,57,8
201302,103,73,8
201213,100,67,12
201212,60,40,10
201211,88,57,17
201210,89,56,15
201209,97,50,20
201208,68,52,5
201207,93,54,15
201206,108,67,18
201205,156,99,28
201204,134,78,24
201203,165,94,24
201202,205,116,33
201113,140,93,15
201112,155,80,27
201111,231,134,30
201110,224,114,40
201109,233,121,45
201108,126,62,27
201107,192,101,31
201106,207,104,27
201105,263,122,56
201104,201,100,40
201103,206,105,47
201102,166,85,41
201013,181,80,48
201012,124,70,16
201011,138,76,29
201010,151,91,32
201009,162,92,39
201008,74,36,8
201007,88,51,17
201006,114,68,19
201005,110,62,24
201004,108,64,27
201003,112,55,27
201002,106,61,20
200913,80,58,14
200912,74,42,21
200911,86,43,25
200910,77,33,24
200909,69,39,8
200908,32,21,4
200907,67,37,13
200906,62,38,15
200905,45,30,9
200904,47,31,9
200903,60,29,24
200902,46,31,8
200813,52,24,23
200812,39,28,6
200811,59,30,18
